UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,record_id,equipment_id,equipment_type,equipment_model,hospital_unit,timestamp,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,failure_type,severity,downtime_hours,maintenance_cost_usd,days_since_last_pm,technician_notes
3981,L02008,L,302.7,314.7,1488,40.4,57,0,0,0,0,0,0,REC03981,VEN023,Ventilator,Drager Evita V500,ICU,2024-06-02 00:00:00,302.7,314.7,1488,40.4,57,0,No Failure,Low,0.0,0,54,Calibration verified. Sensor readings within tolerance.
3982,L02009,L,300.6,310.7,1407,48.7,159,0,0,0,0,0,0,REC03982,INF023,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-06-21 00:00:00,300.6,310.7,1407,48.7,159,0,No Failure,Low,0.0,0,141,Scheduled check completed. No anomalies detected.
3983,M01173,M,299.8,309.4,1168,40.6,95,0,0,0,0,0,0,REC03983,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2023-01-11 00:00:00,299.8,309.4,1168,40.6,95,0,No Failure,Low,0.0,0,98,Routine inspection completed. All parameters normal.
3984,L02010,L,302.8,312.2,1524,21.6,131,0,0,0,0,0,0,REC03984,VEN023,Ventilator,Drager Evita V500,ICU,2023-12-23 00:00:00,302.8,312.2,1524,21.6,131,0,No Failure,Low,0.0,0,46,Preventive maintenance performed. Equipment functioning within specifications.
3985,L02011,L,302.5,313.0,1362,40.5,114,0,0,0,0,0,0,REC03985,INF023,Infusion Pump,Baxter Sigma Spectrum,Oncology,2024-12-02 00:00:00,302.5,313.0,1362,40.5,114,0,No Failure,Low,0.0,0,11,Calibration verified. Sensor readings within tolerance.
3986,L02012,L,302.4,311.8,1373,40.6,241,0,0,0,0,0,0,REC03986,PAT022,Patient Monitor,Mindray N22,General Ward,2024-10-19 00:00:00,302.4,311.8,1373,40.6,241,0,No Failure,Low,0.0,0,141,Scheduled check completed. No anomalies detected.
3987,L02013,L,295.0,303.9,1823,49.0,87,0,0,0,0,0,0,REC03987,VEN023,Ventilator,Drager Evita V500,ICU,2023-06-18 00:00:00,295.0,303.9,1823,49.0,87,0,No Failure,Low,0.0,0,4,Scheduled check completed. No anomalies detected.
3988,L02014,L,300.9,310.8,1168,36.6,38,0,0,0,0,0,0,REC03988,INF023,Infusion Pump,Baxter Sigma Spectrum,ICU,2023-12-22 00:00:00,300.9,310.8,1168,36.6,38,0,No Failure,Low,0.0,0,76,Calibration verified. Sensor readings within tolerance.
3989,H00802,H,300.4,310.4,1168,30.2,91,0,0,0,0,0,0,REC03989,CT014,CT Scanner,Canon Aquilion Prime,Oncology,2024-09-22 00:00:00,300.4,310.4,1168,30.2,91,0,No Failure,Medium,0.0,0,6,Scheduled check completed. No anomalies detected.
3990,H00803,H,299.9,309.5,1546,30.3,126,0,0,0,0,0,0,REC03990,MRI014,MRI,Siemens MAGNETOM Vida,Radiology,2024-11-10 00:00:00,299.9,309.5,1546,30.3,126,0,No Failure,Medium,0.0,0,140,Scheduled check completed. No anomalies detected.
3991,H00804,H,301.2,310.3,1422,54.4,16,0,0,0,0,0,0,REC03991,CT014,CT Scanner,GE Revolution CT,Emergency,2023-08-30 00:00:00,301.2,310.3,1422,54.4,16,0,No Failure,Medium,0.0,0,179,Calibration verified. Sensor readings within tolerance.
3992,L02015,L,300.5,310.1,1396,42.9,232,0,0,0,0,0,0,REC03992,PAT023,Patient Monitor,Mindray N22,ICU,2024-08-09 00:00:00,300.5,310.1,1396,42.9,232,0,No Failure,Low,0.0,0,58,Preventive maintenance performed. Equipment functioning within specifications.
3993,L02016,L,301.4,310.9,1554,53.9,50,0,0,0,0,0,0,REC03993,VEN023,Ventilator,Drager Evita V500,ICU,2024-09-01 00:00:00,301.4,310.9,1554,53.9,50,0,No Failure,Low,0.0,0,56,Calibration verified. Sensor readings within tolerance.
3994,L02017,L,299.5,308.9,1551,55.4,235,1,0,0,0,1,0,REC03994,INF023,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-04-20 00:00:00,299.5,308.9,1551,55.4,235,1,Overstrain Failure,High,9.7,2562,102,Overstrain detected. Mechanical components inspected and replaced.
3995,L02018,L,303.0,313.3,1305,32.6,102,0,0,0,0,0,0,REC03995,PAT023,Patient Monitor,Mindray N22,Emergency,2023-01-24 00:00:00,303.0,313.3,1305,32.6,102,0,No Failure,Low,0.0,0,90,Preventive maintenance performed. Equipment functioning within specifications.
3996,L02019,L,301.6,313.6,1381,31.8,140,0,0,0,0,0,0,REC03996,VEN023,Ventilator,Drager Evita V500,ICU,2023-02-04 00:00:00,301.6,313.6,1381,31.8,140,0,No Failure,Low,0.0,0,69,Scheduled check completed. No anomalies detected.
3997,L02020,L,301.1,312.4,1509,38.7,172,0,0,0,0,0,0,REC03997,INF023,Infusion Pump,Baxter Sigma Spectrum,Oncology,2023-04-17 00:00:00,301.1,312.4,1509,38.7,172,0,No Failure,Low,0.0,0,66,Calibration verified. Sensor readings within tolerance.
3998,L02021,L,301.0,312.9,1533,46.1,16,0,0,0,0,0,0,REC03998,PAT023,Patient Monitor,Mindray N22,General Ward,2024-06-24 00:00:00,301.0,312.9,1533,46.1,16,0,No Failure,Low,0.0,0,33,Scheduled check completed. No anomalies detected.
3999,L02022,L,302.3,311.7,1596,26.0,104,0,0,0,0,0,0,REC03999,VEN023,Ventilator,Drager Evita V500,ICU,2023-10-12 00:00:00,302.3,311.7,1596,26.0,104,0,No Failure,Low,0.0,0,45,Scheduled check completed. No anomalies detected.
4000,L02023,L,302.0,313.7,1383,44.5,71,0,0,0,0,0,0,REC04000,INF023,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-05-15 00:00:00,302.0,313.7,1383,44.5,71,0,No Failure,Low,0.0,0,105,Scheduled check completed. No anomalies detected.
4001,M01174,M,299.8,310.0,1569,44.0,42,0,0,0,0,0,0,REC04001,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2023-03-07 00:00:00,299.8,310.0,1569,44.0,42,0,No Failure,Low,0.0,0,132,Calibration verified. Sensor readings within tolerance.
4002,L02024,L,302.0,313.0,1690,28.7,169,0,0,0,0,0,0,REC04002,VEN023,Ventilator,Drager Evita V500,ICU,2024-03-15 00:00:00,302.0,313.0,1690,28.7,169,0,No Failure,Low,0.0,0,135,Preventive maintenance performed. Equipment functioning within specifications.
4003,H00805,H,300.3,310.8,1509,29.1,41,0,0,0,0,0,0,REC04003,CT014,CT Scanner,GE Revolution CT,Emergency,2024-06-27 00:00:00,300.3,310.8,1509,29.1,41,0,No Failure,Medium,0.0,0,93,Routine inspection completed. All parameters normal.
4004,L02025,L,303.8,313.5,1479,44.4,147,0,0,0,0,0,0,REC04004,PAT023,Patient Monitor,Mindray N22,ICU,2024-12-13 00:00:00,303.8,313.5,1479,44.4,147,0,No Failure,Low,0.0,0,136,Preventive maintenance performed. Equipment functioning within specifications.
4005,M01175,M,302.2,312.9,1452,60.7,98,0,0,0,0,0,0,REC04005,ULT014,Ultrasound,GE LOGIQ E10,Cardiology,2023-08-22 00:00:00,302.2,312.9,1452,60.7,98,0,No Failure,Low,0.0,0,107,Calibration verified. Sensor readings within tolerance.
4006,L02026,L,298.7,309.2,1376,37.1,246,0,0,0,0,0,0,REC04006,INF023,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-02-03 00:00:00,298.7,309.2,1376,37.1,246,0,No Failure,Low,0.0,0,64,Preventive maintenance performed. Equipment functioning within specifications.
4007,L02027,L,304.0,312.2,1312,43.3,229,0,0,0,0,0,0,REC04007,PAT023,Patient Monitor,Mindray N22,Emergency,2023-12-19 00:00:00,304.0,312.2,1312,43.3,229,0,No Failure,Low,0.0,0,63,Routine inspection completed. All parameters normal.
4008,L02028,L,295.8,305.7,1440,33.9,1,0,0,0,0,0,0,REC04008,VEN023,Ventilator,Drager Evita V500,ICU,2023-09-11 00:00:00,295.8,305.7,1440,33.9,1,0,No Failure,Low,0.0,0,93,Preventive maintenance performed. Equipment functioning within specifications.
4009,L02029,L,301.3,312.1,1590,42.4,205,0,0,0,0,0,0,REC04009,INF023,Infusion Pump,Baxter Sigma Spectrum,Oncology,2024-04-12 00:00:00,301.3,312.1,1590,42.4,205,0,No Failure,Low,0.0,0,55,Calibration verified. Sensor readings within tolerance.
4010,M01176,M,298.6,308.9,1322,33.7,42,0,0,0,0,0,0,REC04010,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2024-02-17 00:00:00,298.6,308.9,1322,33.7,42,0,No Failure,Low,0.0,0,138,Scheduled check completed. No anomalies detected.
4011,L02030,L,303.8,314.2,1484,37.4,119,0,0,0,0,0,0,REC04011,VEN023,Ventilator,Drager Evita V500,ICU,2024-08-31 00:00:00,303.8,314.2,1484,37.4,119,0,No Failure,Low,0.0,0,33,Routine inspection completed. All parameters normal.
4012,L02031,L,300.5,309.8,1461,64.5,205,0,0,0,0,0,0,REC04012,INF023,Infusion Pump,Baxter Sigma Spectrum,ICU,2023-01-21 00:00:00,300.5,309.8,1461,64.5,205,0,No Failure,Low,0.0,0,9,Preventive maintenance performed. Equipment functioning within specifications.
4013,H00806,H,298.4,308.7,1855,41.1,72,0,0,0,0,0,0,REC04013,CT014,CT Scanner,Canon Aquilion Prime,Oncology,2023-06-11 00:00:00,298.4,308.7,1855,41.1,72,0,No Failure,Medium,0.0,0,88,Calibration verified. Sensor readings within tolerance.
4014,L02032,L,299.5,309.4,1644,24.4,185,0,0,0,0,0,0,REC04014,VEN023,Ventilator,Drager Evita V500,ICU,2024-02-27 00:00:00,299.5,309.4,1644,24.4,185,0,No Failure,Low,0.0,0,13,Routine inspection completed. All parameters normal.
4015,M01177,M,298.6,308.4,1641,46.4,60,0,0,0,0,0,0,REC04015,ICU013,ICU Device,Nellcor PM1000N,Emergency,2024-02-23 00:00:00,298.6,308.4,1641,46.4,60,0,No Failure,Low,0.0,0,34,Routine inspection completed. All parameters normal.
4016,M01178,M,299.4,308.7,1684,51.3,220,0,0,0,0,0,0,REC04016,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2024-10-20 00:00:00,299.4,308.7,1684,51.3,220,0,No Failure,Low,0.0,0,68,Preventive maintenance performed. Equipment functioning within specifications.
4017,L02033,L,299.3,310.3,1390,46.8,111,0,0,0,0,0,0,REC04017,VEN023,Ventilator,Drager Evita V500,ICU,2024-05-07 00:00:00,299.3,310.3,1390,46.8,111,0,No Failure,Low,0.0,0,0,Calibration verified. Sensor readings within tolerance.
4018,L02034,L,298.5,308.8,1775,38.2,50,0,0,0,0,0,0,REC04018,INF023,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-01-04 00:00:00,298.5,308.8,1775,38.2,50,0,No Failure,Low,0.0,0,40,Calibration verified. Sensor readings within tolerance.
4019,L02035,L,300.5,310.8,1531,30.8,13,0,0,0,0,0,0,REC04019,PAT023,Patient Monitor,Mindray N22,Emergency,2023-12-24 00:00:00,300.5,310.8,1531,30.8,13,0,No Failure,Low,0.0,0,98,Routine inspection completed. All parameters normal.
4020,M01179,M,300.8,312.8,1491,31.1,153,0,0,0,0,0,0,REC04020,ULT014,Ultrasound,GE LOGIQ E10,Radiology,2024-09-09 00:00:00,300.8,312.8,1491,31.1,153,0,No Failure,Medium,0.0,0,67,Routine inspection completed. All parameters normal.
4021,L02036,L,298.0,308.5,1257,38.1,172,0,0,0,0,0,0,REC04021,INF023,Infusion Pump,Baxter Sigma Spectrum,Oncology,2024-09-29 00:00:00,298.0,308.5,1257,38.1,172,0,No Failure,Low,0.0,0,162,Scheduled check completed. No anomalies detected.
4022,L02037,L,296.7,307.9,1419,36.3,172,0,0,0,0,0,0,REC04022,PAT023,Patient Monitor,Mindray N22,General Ward,2024-08-08 00:00:00,296.7,307.9,1419,36.3,172,0,No Failure,Low,0.0,0,16,Preventive maintenance performed. Equipment functioning within specifications.
4023,L02038,L,300.6,310.9,1168,34.4,125,0,0,0,0,0,0,REC04023,VEN023,Ventilator,Drager Evita V500,ICU,2023-12-15 00:00:00,300.6,310.9,1168,34.4,125,0,No Failure,Low,0.0,0,130,Scheduled check completed. No anomalies detected.
4024,H00807,H,301.1,310.7,1450,52.2,101,0,0,0,0,0,0,REC04024,MRI014,MRI,GE SIGNA Premier,Neurology,2023-03-19 00:00:00,301.1,310.7,1450,52.2,101,0,No Failure,Medium,0.0,0,107,Routine inspection completed. All parameters normal.
4025,M01180,M,301.5,310.4,1384,49.2,156,0,0,0,0,0,0,REC04025,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2023-06-05 00:00:00,301.5,310.4,1384,49.2,156,0,No Failure,Medium,0.0,0,116,Routine inspection completed. All parameters normal.
4026,H00808,H,301.1,311.3,1420,52.7,8,0,0,0,0,0,0,REC04026,MRI014,MRI,Siemens MAGNETOM Vida,Radiology,2024-09-10 00:00:00,301.1,311.3,1420,52.7,8,0,No Failure,Medium,0.0,0,121,Calibration verified. Sensor readings within tolerance.
4027,M01181,M,303.1,311.1,1222,32.1,60,1,0,1,0,0,0,REC04027,ICU013,ICU Device,Nellcor PM1000N,Emergency,2023-09-06 00:00:00,303.1,311.1,1222,32.1,60,1,Heat Dissipation Failure,High,8.0,5875,9,Thermal anomaly detected. Temperature sensors recalibrated.
4028,M01182,M,302.0,312.3,1640,30.8,64,0,0,0,0,0,0,REC04028,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2024-07-11 00:00:00,302.0,312.3,1640,30.8,64,0,No Failure,Low,0.0,0,143,Scheduled check completed. No anomalies detected.
4029,L02039,L,304.0,314.3,1618,40.8,196,0,0,0,0,0,0,REC04029,VEN023,Ventilator,Drager Evita V500,ICU,2023-01-27 00:00:00,304.0,314.3,1618,40.8,196,0,No Failure,Low,0.0,0,59,Routine inspection completed. All parameters normal.
4030,H00809,H,304.0,313.8,1837,44.1,111,0,0,0,0,0,0,REC04030,MRI014,MRI,GE SIGNA Premier,Neurology,2023-12-25 00:00:00,304.0,313.8,1837,44.1,111,0,No Failure,Medium,0.0,0,117,Preventive maintenance performed. Equipment functioning within specifications.
4031,M01183,M,296.5,306.4,1832,40.7,11,0,0,0,0,0,0,REC04031,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2024-11-24 00:00:00,296.5,306.4,1832,40.7,11,0,No Failure,Low,0.0,0,53,Calibration verified. Sensor readings within tolerance.
4032,L02040,L,295.6,304.4,1531,43.5,226,0,0,0,0,0,0,REC04032,VEN023,Ventilator,Drager Evita V500,ICU,2023-06-29 00:00:00,295.6,304.4,1531,43.5,226,0,No Failure,Low,0.0,0,71,Calibration verified. Sensor readings within tolerance.
4033,M01184,M,300.0,311.4,1704,55.9,97,0,0,0,0,0,0,REC04033,ICU013,ICU Device,Nellcor PM1000N,Emergency,2023-01-23 00:00:00,300.0,311.4,1704,55.9,97,0,No Failure,Low,0.0,0,126,Routine inspection completed. All parameters normal.
4034,M01185,M,301.0,310.7,1552,37.8,19,0,0,0,0,0,0,REC04034,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2023-07-30 00:00:00,301.0,310.7,1552,37.8,19,0,No Failure,Low,0.0,0,169,Preventive maintenance performed. Equipment functioning within specifications.
4035,L02041,L,299.8,308.9,1414,48.1,105,0,0,0,0,0,0,REC04035,VEN023,Ventilator,Drager Evita V500,ICU,2023-02-16 00:00:00,299.8,308.9,1414,48.1,105,0,No Failure,Low,0.0,0,158,Scheduled check completed. No anomalies detected.
4036,L02042,L,301.4,312.0,1444,45.2,240,0,0,0,0,0,0,REC04036,INF023,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-03-22 00:00:00,301.4,312.0,1444,45.2,240,0,No Failure,Low,0.0,0,131,Preventive maintenance performed. Equipment functioning within specifications.
4037,L02043,L,299.5,309.6,1627,41.0,202,0,0,0,0,0,0,REC04037,PAT023,Patient Monitor,Mindray N22,Cardiology,2023-05-20 00:00:00,299.5,309.6,1627,41.0,202,0,No Failure,Low,0.0,0,97,Routine inspection completed. All parameters normal.
4038,H00810,H,298.6,308.3,2317,47.6,150,0,0,0,0,0,0,REC04038,MRI014,MRI,Siemens MAGNETOM Vida,Radiology,2023-06-29 00:00:00,298.6,308.3,2317,47.6,150,0,No Failure,Medium,0.0,0,95,Preventive maintenance performed. Equipment functioning within specifications.
4039,L02044,L,298.9,308.5,1733,32.3,192,0,0,0,0,0,0,REC04039,INF023,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2024-03-05 00:00:00,298.9,308.5,1733,32.3,192,0,No Failure,Low,0.0,0,174,Preventive maintenance performed. Equipment functioning within specifications.
4040,H00811,H,299.6,309.6,1549,30.3,130,0,0,0,0,0,0,REC04040,MRI014,MRI,Philips Ingenia 3T,Oncology,2023-08-26 00:00:00,299.6,309.6,1549,30.3,130,0,No Failure,Medium,0.0,0,37,Routine inspection completed. All parameters normal.
4041,L02045,L,301.7,313.0,1596,44.3,203,0,0,0,0,0,0,REC04041,VEN023,Ventilator,Drager Evita V500,ICU,2024-04-19 00:00:00,301.7,313.0,1596,44.3,203,0,No Failure,Low,0.0,0,172,Scheduled check completed. No anomalies detected.
4042,M01186,M,299.0,309.5,1594,23.6,212,0,0,0,0,0,0,REC04042,ICU013,ICU Device,Nellcor PM1000N,Emergency,2024-11-10 00:00:00,299.0,309.5,1594,23.6,212,0,No Failure,Medium,0.0,0,117,Preventive maintenance performed. Equipment functioning within specifications.
4043,L02046,L,299.4,309.4,1481,45.1,85,0,0,0,0,0,0,REC04043,PAT023,Patient Monitor,Mindray N22,Emergency,2024-11-10 00:00:00,299.4,309.4,1481,45.1,85,0,No Failure,Low,0.0,0,111,Routine inspection completed. All parameters normal.
4044,H00812,H,301.1,312.0,1651,28.7,112,0,0,0,0,0,0,REC04044,MRI014,MRI,Siemens MAGNETOM Vida,Radiology,2024-06-16 00:00:00,301.1,312.0,1651,28.7,112,0,No Failure,Medium,0.0,0,107,Preventive maintenance performed. Equipment functioning within specifications.
4045,L02047,L,299.6,309.6,1468,55.2,57,0,0,0,0,0,0,REC04045,INF023,Infusion Pump,Baxter Sigma Spectrum,Oncology,2024-12-08 00:00:00,299.6,309.6,1468,55.2,57,0,No Failure,Low,0.0,0,147,Routine inspection completed. All parameters normal.
4046,L02048,L,302.2,312.6,1297,36.0,173,0,0,0,0,0,0,REC04046,PAT023,Patient Monitor,Mindray N22,General Ward,2024-06-21 00:00:00,302.2,312.6,1297,36.0,173,0,No Failure,Low,0.0,0,123,Scheduled check completed. No anomalies detected.
4047,L02049,L,298.2,308.3,1596,54.5,34,0,0,0,0,0,0,REC04047,VEN023,Ventilator,Drager Evita V500,ICU,2023-02-19 00:00:00,298.2,308.3,1596,54.5,34,0,No Failure,Low,0.0,0,17,Calibration verified. Sensor readings within tolerance.
4048,L02050,L,297.7,308.3,1623,37.9,119,0,0,0,0,0,0,REC04048,INF023,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-11-28 00:00:00,297.7,308.3,1623,37.9,119,0,No Failure,Low,0.0,0,141,Scheduled check completed. No anomalies detected.
4049,L02051,L,300.6,310.2,1470,37.5,244,0,0,0,0,0,0,REC04049,PAT023,Patient Monitor,Mindray N22,Cardiology,2024-02-18 00:00:00,300.6,310.2,1470,37.5,244,0,No Failure,Low,0.0,0,131,Calibration verified. Sensor readings within tolerance.
4050,M01187,M,300.8,309.7,1561,48.7,117,0,0,0,0,0,0,REC04050,ULT014,Ultrasound,GE LOGIQ E10,General Ward,2023-01-05 00:00:00,300.8,309.7,1561,48.7,117,0,No Failure,Low,0.0,0,165,Calibration verified. Sensor readings within tolerance.
4051,H00813,H,298.3,309.2,1692,42.9,17,0,0,0,0,0,0,REC04051,CT014,CT Scanner,GE Revolution CT,Emergency,2024-03-28 00:00:00,298.3,309.2,1692,42.9,17,0,No Failure,Medium,0.0,0,169,Preventive maintenance performed. Equipment functioning within specifications.
4052,M01188,M,302.7,314.2,1489,39.3,4,0,0,0,0,0,0,REC04052,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2023-06-28 00:00:00,302.7,314.2,1489,39.3,4,0,No Failure,Low,0.0,0,171,Routine inspection completed. All parameters normal.
4053,M01189,M,303.8,312.8,1410,36.0,240,0,0,0,0,0,0,REC04053,ULT014,Ultrasound,GE LOGIQ E10,Cardiology,2024-01-26 00:00:00,303.8,312.8,1410,36.0,240,0,No Failure,Low,0.0,0,7,Routine inspection completed. All parameters normal.
4054,L02052,L,298.7,308.9,1358,36.1,178,0,0,0,0,0,0,REC04054,INF024,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-04-25 00:00:00,298.7,308.9,1358,36.1,178,0,No Failure,Low,0.0,0,114,Routine inspection completed. All parameters normal.
4055,H00814,H,303.0,312.5,1449,63.6,179,0,0,0,0,0,0,REC04055,CT014,CT Scanner,Canon Aquilion Prime,Oncology,2023-01-21 00:00:00,303.0,312.5,1449,63.6,179,0,No Failure,Medium,0.0,0,169,Scheduled check completed. No anomalies detected.
4056,H00815,H,295.2,306.1,1806,23.2,93,0,0,0,0,0,0,REC04056,MRI014,MRI,Siemens MAGNETOM Vida,Radiology,2023-11-16 00:00:00,295.2,306.1,1806,23.2,93,0,No Failure,Medium,0.0,0,174,Scheduled check completed. No anomalies detected.
4057,L02053,L,302.2,312.4,1460,28.0,126,0,0,0,0,0,0,REC04057,INF024,Infusion Pump,Baxter Sigma Spectrum,Oncology,2023-02-10 00:00:00,302.2,312.4,1460,28.0,126,0,No Failure,Low,0.0,0,99,Scheduled check completed. No anomalies detected.
4058,H00816,H,298.3,310.3,1571,51.8,141,0,0,0,0,0,0,REC04058,MRI014,MRI,Philips Ingenia 3T,Oncology,2023-03-24 00:00:00,298.3,310.3,1571,51.8,141,0,No Failure,Medium,0.0,0,164,Scheduled check completed. No anomalies detected.
4059,L02054,L,302.0,311.7,1435,51.0,194,0,0,0,0,0,0,REC04059,VEN024,Ventilator,Drager Evita V500,ICU,2023-06-04 00:00:00,302.0,311.7,1435,51.0,194,0,No Failure,Low,0.0,0,159,Preventive maintenance performed. Equipment functioning within specifications.
4060,H00817,H,298.1,309.6,1417,30.8,128,0,0,0,0,0,0,REC04060,MRI014,MRI,GE SIGNA Premier,Neurology,2024-07-24 00:00:00,298.1,309.6,1417,30.8,128,0,No Failure,Medium,0.0,0,0,Preventive maintenance performed. Equipment functioning within specifications.
4061,H00818,H,299.9,311.5,1324,22.5,77,0,0,0,0,0,0,REC04061,CT014,CT Scanner,Canon Aquilion Prime,Oncology,2023-10-29 00:00:00,299.9,311.5,1324,22.5,77,0,No Failure,Medium,0.0,0,160,Calibration verified. Sensor readings within tolerance.
4062,M01190,M,298.4,308.9,1520,52.7,134,0,0,0,0,0,0,REC04062,ULT014,Ultrasound,GE LOGIQ E10,General Ward,2023-02-04 00:00:00,298.4,308.9,1520,52.7,134,0,No Failure,Low,0.0,0,115,Calibration verified. Sensor readings within tolerance.
4063,L02055,L,299.6,309.6,1396,29.5,172,0,0,0,0,0,0,REC04063,INF024,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2024-06-29 00:00:00,299.6,309.6,1396,29.5,172,0,No Failure,Low,0.0,0,103,Routine inspection completed. All parameters normal.
4064,M01191,M,303.7,313.8,1754,35.1,14,0,0,0,0,0,0,REC04064,LAB014,Lab Analyzer,Beckman AU5800,General Ward,2024-02-02 00:00:00,303.7,313.8,1754,35.1,14,0,No Failure,Low,0.0,0,32,Scheduled check completed. No anomalies detected.
4065,L02056,L,299.8,309.8,1478,41.0,119,0,0,0,0,0,0,REC04065,VEN024,Ventilator,Drager Evita V500,ICU,2023-04-14 00:00:00,299.8,309.8,1478,41.0,119,0,No Failure,Low,0.0,0,166,Preventive maintenance performed. Equipment functioning within specifications.
4066,M01192,M,304.0,315.1,1491,29.3,87,0,0,0,0,0,0,REC04066,ICU013,ICU Device,Nellcor PM1000N,Emergency,2024-02-15 00:00:00,304.0,315.1,1491,29.3,87,0,No Failure,Medium,0.0,0,53,Calibration verified. Sensor readings within tolerance.
4067,L02057,L,299.2,308.4,1463,49.2,226,0,0,0,0,0,0,REC04067,PAT023,Patient Monitor,Mindray N22,Emergency,2023-07-01 00:00:00,299.2,308.4,1463,49.2,226,0,No Failure,Low,0.0,0,75,Routine inspection completed. All parameters normal.
4068,M01193,M,303.0,312.8,1574,40.2,98,0,0,0,0,0,0,REC04068,ULT014,Ultrasound,GE LOGIQ E10,Radiology,2024-04-09 00:00:00,303.0,312.8,1574,40.2,98,0,No Failure,Low,0.0,0,53,Routine inspection completed. All parameters normal.
4069,H00819,H,296.7,306.5,1798,31.2,159,0,0,0,0,0,0,REC04069,CT014,CT Scanner,GE Revolution CT,Emergency,2024-11-22 00:00:00,296.7,306.5,1798,31.2,159,0,No Failure,Medium,0.0,0,175,Scheduled check completed. No anomalies detected.
4070,L02058,L,299.4,307.7,1292,32.1,115,0,0,0,0,0,0,REC04070,PAT023,Patient Monitor,Mindray N22,General Ward,2023-08-19 00:00:00,299.4,307.7,1292,32.1,115,0,No Failure,Low,0.0,0,87,Scheduled check completed. No anomalies detected.
4071,L02059,L,298.9,309.8,1555,53.0,205,0,0,0,0,0,0,REC04071,VEN024,Ventilator,Drager Evita V500,ICU,2024-06-28 00:00:00,298.9,309.8,1555,53.0,205,0,No Failure,Low,0.0,0,20,Routine inspection completed. All parameters normal.
4072,M01194,M,303.1,314.1,1186,37.2,235,0,0,0,0,0,0,REC04072,ICU013,ICU Device,Nellcor PM1000N,Emergency,2023-01-18 00:00:00,303.1,314.1,1186,37.2,235,0,No Failure,Low,0.0,0,1,Scheduled check completed. No anomalies detected.
4073,L02060,L,300.4,309.7,1744,46.1,21,0,0,0,0,0,0,REC04073,PAT023,Patient Monitor,Mindray N22,Cardiology,2023-10-25 00:00:00,300.4,309.7,1744,46.1,21,0,No Failure,Low,0.0,0,177,Scheduled check completed. No anomalies detected.
4074,L02061,L,295.8,306.9,1478,39.9,4,0,0,0,0,0,0,REC04074,VEN024,Ventilator,Drager Evita V500,ICU,2024-10-10 00:00:00,295.8,306.9,1478,39.9,4,0,No Failure,Low,0.0,0,42,Calibration verified. Sensor readings within tolerance.
4075,L02062,L,297.4,305.8,1201,22.5,178,1,0,1,0,0,0,REC04075,INF024,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2023-02-24 00:00:00,297.4,305.8,1201,22.5,178,1,Heat Dissipation Failure,Medium,1.1,1733,139,Thermal anomaly detected. Temperature sensors recalibrated.
4076,L02063,L,298.0,308.0,1244,47.5,159,0,0,0,0,0,0,REC04076,PAT023,Patient Monitor,Mindray N22,ICU,2024-11-09 00:00:00,298.0,308.0,1244,47.5,159,0,No Failure,Low,0.0,0,5,Calibration verified. Sensor readings within tolerance.
4077,M01195,M,301.9,311.7,1662,50.7,140,0,0,0,0,0,0,REC04077,ULT014,Ultrasound,GE LOGIQ E10,Cardiology,2023-03-10 00:00:00,301.9,311.7,1662,50.7,140,0,No Failure,Low,0.0,0,162,Preventive maintenance performed. Equipment functioning within specifications.
4078,M01196,M,301.6,311.7,1168,58.4,108,0,0,0,0,0,0,REC04078,ICU013,ICU Device,Nellcor PM1000N,Emergency,2023-12-18 00:00:00,301.6,311.7,1168,58.4,108,0,No Failure,Low,0.0,0,117,Scheduled check completed. No anomalies detected.
4079,L02064,L,299.4,309.5,1555,21.0,189,0,0,0,0,0,0,REC04079,PAT023,Patient Monitor,Mindray N22,Emergency,2023-05-13 00:00:00,299.4,309.5,1555,21.0,189,0,No Failure,Low,0.0,0,40,Calibration verified. Sensor readings within tolerance.
